,source,relation,target,edge_type,weight,date,title,attribute,days_before
19,Russia-Ukraine War Impact,deteriorate,balance_of_trade,event,,2023-06-01,Govt aims to sustain economic recovery: Kamal  | National Budget 2023-2024,"""Russia-Ukraine War Impact: Global Shock""",48
20,Increase Regulatory Duties on Non-Essential Imports,decrease,imports,event,,2023-06-01,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,"""Increase Regulatory Duties: Government Policy"", ""Non-Essential Imports: Trade Policy""",48
21,imports,has_attribute,Government Policy,attribute,,2023-06-01,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,"""Increase Regulatory Duties: Government Policy"", ""Non-Essential Imports: Trade Policy""",48
22,Duty Cut on Containers,increase,imports,event,,2023-06-01,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,"""Duty Cut on Containers: Trade Policy""",48
23,imports,has_attribute,Trade Policy,attribute,,2023-06-01,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,"""Duty Cut on Containers: Trade Policy""",48
24,imports,has_attribute,Trade Policy,attribute,,2023-06-01,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,"""Increase Regulatory Duties: Government Policy"", ""Non-Essential Imports: Trade Policy""",48
25,Reduction of Duty on Container Import,decrease,imports,event,,2023-06-01,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,"""Reduction of Duty: Trade Policy""",48
26,imports,has_attribute,Currency Movement,attribute,,2023-06-01,Govt aims to sustain economic recovery: Kamal  | National Budget 2023-2024,"""post-war global inflation: Global Shock"", ""depreciation of the country's foreign exchange rate: Currency Movement""",48
27,imports,has_attribute,Global Shock,attribute,,2023-06-01,Govt aims to sustain economic recovery: Kamal  | National Budget 2023-2024,"""post-war global inflation: Global Shock"", ""depreciation of the country's foreign exchange rate: Currency Movement""",48
28,Import-induced Inflation Mitigation,increase,imports,event,,2023-06-01,Govt giving priority to addressing climate change impacts: Kamal | National Budget 2023-2024,"""Import-induced Inflation: Market Dynamics""",48
29,imports,has_attribute,Market Dynamics,attribute,,2023-06-01,Govt giving priority to addressing climate change impacts: Kamal | National Budget 2023-2024,"""Import-induced Inflation: Market Dynamics""",48
30,Imported Edible Gold Stock,decrease,imports,event,,2023-05-26,"Rise of inequality, drumbeat of development","""Imported Edible Gold Stock: Market Dynamics""",54
31,imports,has_attribute,Market Dynamics,attribute,,2023-05-26,"Rise of inequality, drumbeat of development","""Imported Edible Gold Stock: Market Dynamics""",54
32,imports,has_attribute,Infrastructure,attribute,,2023-05-18,"Apparel makers in cyclone-hit Bangladesh consider rare, expensive airlifts for exports | MarketScreener","""Airlifted Goods: Infrastructure""",62
33,Airlifted Goods,decrease,imports,event,,2023-05-18,"Apparel makers in cyclone-hit Bangladesh consider rare, expensive airlifts for exports | MarketScreener","""Airlifted Goods: Infrastructure""",62
34,Yuan Use in Imports,increase,imports,event,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Use in Imports: Currency Movement""",64
35,imports,has_attribute,Currency Movement,attribute,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Use in Imports: Currency Movement""",64
36,balance_of_trade,has_attribute,Currency Movement,attribute,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Use for Imports: Currency Movement""",64
37,Yuan Use for Imports,improve,balance_of_trade,event,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Use for Imports: Currency Movement""",64
38,Yuan Payments in Bangladesh,increase,imports,event,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Payments: Currency Movement""",64
39,imports,has_attribute,Currency Movement,attribute,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Payments: Currency Movement""",64
40,balance_of_trade,has_attribute,Trade Policy,attribute,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Trade Shift: Trade Policy""",64
41,Yuan Trade Shift,deteriorate,balance_of_trade,event,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Trade Shift: Trade Policy""",64
42,Yuan Use in Trade,deteriorate,balance_of_trade,event,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Use in Trade: Currency Movement""",64
43,balance_of_trade,has_attribute,Currency Movement,attribute,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Use in Trade: Currency Movement""",64
44,imports,has_attribute,Currency Movement,attribute,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Payments: Currency Movement""",64
45,Yuan Payments for Imports,decrease,imports,event,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Yuan Payments: Currency Movement""",64
46,Dollar Shortage,decrease,imports,event,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Dollar Shortage: Currency Movement""",64
47,imports,has_attribute,Currency Movement,attribute,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Dollar Shortage: Currency Movement""",64
48,Currency Pressure,decrease,imports,event,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Currency Pressure: Currency Movement""",64
49,imports,has_attribute,Currency Movement,attribute,,2023-05-16,Bangladesh government should think twice before trading in Chinese currency: Report,"""Currency Pressure: Currency Movement""",64
50,imports,has_attribute,Government Policy,attribute,,2023-05-14,Govt may allow onion import soon: Agri Secretary  | News,"""Onion Import Suspension End: Government Policy""",66
51,Onion Import Suspension End,increase,imports,event,,2023-05-14,Govt may allow onion import soon: Agri Secretary  | News,"""Onion Import Suspension End: Government Policy""",66
